,csv_post_title,csv_post_post,csv_post_excerpt,wpcf-Name,wpcf-Address,wpcf-Activity-Type,wpcf-Activity-Image,wpcf-Disability-Accessible,wpcf-On-Premise-Disability-Parking,wpcf-Ambulant-Toilet,wpcf-Opening-Hours,csv_post_categories,csv_post_type
0,Camp Area,Camp Area,,Camp Area,"Bingil Bay Road, Bingil Bay",Camping Ground,“”,No,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
1,Yarramalong Weir,Yarramalong Weir,,Yarramalong Weir,"Yarramalong Road, Pampas",Camping Ground,“”,No,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
2,Darlington Park,Darlington Park,,Darlington Park,"Kerry Road, Darlington",Camping Ground,“”,Yes,Yes,No,OPEN: Daylight hours,Activity-Types,Camping Ground
3,Stinson Park,Stinson Park,,Stinson Park,"Christmas Creek Road, Southern Lamington",Camping Ground,“”,Yes,Yes,No,OPEN: 24 hours,Activity-Types,Camping Ground
4,Sharp Park,Sharp Park,,Sharp Park,"Beechmont Road, Witheren",Camping Ground,“”,Yes,Yes,No,OPEN: 24 hours,Activity-Types,Camping Ground
5,Bigriggan Camping Reserve,Bigriggan Camping Reserve,,Bigriggan Camping Reserve,"Bigriggan Road, Rathdowney",Camping Ground,“”,No,No,No,OPEN: Daylight hours,Activity-Types,Camping Ground
6,Centenary Park,Centenary Park,,Centenary Park,"Mulgowie Road, Thornton",Camping Ground,“”,Yes,Yes,No,OPEN: 24 hours,Activity-Types,Camping Ground
7,Wuruma Dam,Wuruma Dam,,Wuruma Dam,"Wuruma Dam Recreation Area, Wuruma Dam",Camping Ground,“”,No,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
8,Bluewater Park,Bluewater Park,,Bluewater Park,"Bruce Highway, Bluewater",Camping Ground,“”,Yes,Yes,Yes,OPEN: 24 hours,Activity-Types,Camping Ground
9,Toomulla Beach Campgrounds,Toomulla Beach Campgrounds,,Toomulla Beach Campgrounds,"The Esplanade, Toomulla",Camping Ground,“”,No,No,No,OPEN: 6am-6pm,Activity-Types,Camping Ground
10,Vincent Bushy Parker Park,Vincent Bushy Parker Park,,Vincent Bushy Parker Park,"Rollingstone Street, Rollingstone",Camping Ground,“”,Yes,Yes,Yes,OPEN: 24 hours,Activity-Types,Camping Ground
11,Balgal Beach South,Balgal Beach South,,Balgal Beach South,"Justin Street, Balgal Beach",Camping Ground,“”,Yes,No,Yes,OPEN: 24 hours,Activity-Types,Camping Ground
12,Calliope River Camping Grounds Southside,Calliope River Camping Grounds Southside,,Calliope River Camping Grounds Southside,"Bruce Highway, River Ranch",Camping Ground,“”,Yes,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
13,Boynedale Rest Area,Boynedale Rest Area,,Boynedale Rest Area,"Gladstone - Monto Road, Boynedale",Camping Ground,“”,No,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
14,Glebe Weir,Glebe Weir,,Glebe Weir,"2525 Glebe Weir Road, Ghinghinda",Camping Ground,“”,No,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
15,Hull Heads Camping Grounds,Hull Heads Camping Grounds,,Hull Heads Camping Grounds,"Luff Street, Hull Heads",Camping Ground,“”,No,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
16,Sharon Gorge,Sharon Gorge,,Sharon Gorge,"Bundaberg - Gin Gin Road, Sharon",Camping Ground,“”,Yes,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
17,Anzac Park,Anzac Park,,Anzac Park,"33 Seib Street, Kilcoy",Camping Ground,“”,Yes,Yes,No,OPEN: 24 hours,Activity-Types,Camping Ground
18,Ball Bay Camp Ground,Ball Bay Camp Ground,,Ball Bay Camp Ground,"9 Ward Esplanade, Ball Bay",Camping Ground,“”,No,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
19,St Helens Camp Ground,St Helens Camp Ground,,St Helens Camp Ground,"Murrays Road, St Helens Beach",Camping Ground,“”,Yes,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
20,Seaforth Camping Ground,Seaforth Camping Ground,,Seaforth Camping Ground,"Palm Avenue, Seaforth",Camping Ground,“”,Yes,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
21,Sapphire Camping Reserve,Sapphire Camping Reserve,,Sapphire Camping Reserve,"Drummond Road, The Gemfields",Camping Ground,“”,Yes,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
22,Moura Rotary Park,Moura Rotary Park,,Moura Rotary Park,"160 Dawson Highway Moura, Moura",Camping Ground,“”,No,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
23,Castle Rock Camping Area - Girraween National Park,Castle Rock Camping Area - Girraween National Park,,Castle Rock Camping Area - Girraween National Park,"Pyramids Road, Eukey",Camping Ground,“”,Yes,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
24,Bald Rock Creek Camping Area - Girraween National Park,Bald Rock Creek Camping Area - Girraween National Park,,Bald Rock Creek Camping Area - Girraween National Park,"Pyramids Road, Eukey",Camping Ground,“”,No,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
25,Platypus Creek - Lake Tinaroo,Platypus Creek - Lake Tinaroo,,Platypus Creek - Lake Tinaroo,"Danbulla Road, Tinaroo",Camping Ground,“”,Yes,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
26,Kauri Creek - Lake Tinaroo,Kauri Creek - Lake Tinaroo,,Kauri Creek - Lake Tinaroo,"Danbulla Road, Tinaroo",Camping Ground,“”,Yes,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
27,School Point - Lake Tinaroo,School Point - Lake Tinaroo,,School Point - Lake Tinaroo,"Danbulla Road, Tinaroo",Camping Ground,“”,Yes,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
28,Fong-On Bay - Lake Tinaroo,Fong-On Bay - Lake Tinaroo,,Fong-On Bay - Lake Tinaroo,"Access Road, Tinaroo",Camping Ground,“”,Yes,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
29,Clancy's Campground,Clancy's Campground,,Clancy's Campground,"Benarkin State Forest, Cherry Creek",Camping Ground,“”,No,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
30,Camp Mountain Lookout,Camp Mountain Lookout,,Camp Mountain Lookout,"Off Mount Nebo Road, Camp Mountain",Camping Ground,“”,Yes,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
31,Jowarra Park,Jowarra Park,,Jowarra Park,"2859 Steve Irwin Way, Glenview",Camping Ground,“”,No,No,No,OPEN: Variable hours,Activity-Types,Camping Ground
32,Six Mile Creek,Six Mile Creek,,Six Mile Creek,"612 Bruce Highway, Glanmire",Camping Ground,“”,No,No,No,OPEN: Variable hours,Activity-Types,Camping Ground
33,Gunalda,Gunalda,,Gunalda,"Bruce Highway, Gunalda",Camping Ground,“”,Yes,Yes,No,OPEN: Variable hours,Activity-Types,Camping Ground
34,Gin Gin Creek,Gin Gin Creek,,Gin Gin Creek,"34593 Bruce Highway, Gin Gin",Camping Ground,“”,No,No,No,OPEN: Variable hours,Activity-Types,Camping Ground
35,Frances Creek,Frances Creek,,Frances Creek,"Bruce Highway, Helens Hill",Camping Ground,“”,No,No,No,OPEN: Variable hours,Activity-Types,Camping Ground
36,Bilyana,Bilyana,,Bilyana,"Bruce Highway, Bilyana",Camping Ground,“”,No,No,No,OPEN: Variable hours,Activity-Types,Camping Ground
37,Campaspe River,Campaspe River,,Campaspe River,"Flinders Highway, Pentland",Camping Ground,“”,No,No,No,OPEN: Variable hours,Activity-Types,Camping Ground
38,Coolabunia,Coolabunia,,Coolabunia,"2-24 Gipps Street, Coolabunia",Camping Ground,“”,No,No,No,OPEN: Variable hours,Activity-Types,Camping Ground
39,Ban Ban Springs,Ban Ban Springs,,Ban Ban Springs,"13384 Burnett Highway, Ban Ban Springs",Camping Ground,“”,No,No,No,OPEN: Variable hours,Activity-Types,Camping Ground
40,Binjour Range,Binjour Range,,Binjour Range,"Swains Road, Reids Creek",Camping Ground,“”,No,No,No,OPEN: Variable hours,Activity-Types,Camping Ground
41,Ceratodus Rest Area,Ceratodus Rest Area,,Ceratodus Rest Area,"unknown, Ceratodus",Camping Ground,“”,No,No,No,OPEN: Variable hours,Activity-Types,Camping Ground
42,Coominglah Range,Coominglah Range,,Coominglah Range,"Burnett Highway, Moonford",Camping Ground,“”,Yes,No,No,OPEN: Variable hours,Activity-Types,Camping Ground
43,Fat Hen Creek,Fat Hen Creek,,Fat Hen Creek,"Wide Bay Hwy, Kilkivan",Camping Ground,“”,No,No,No,OPEN: Variable hours,Activity-Types,Camping Ground
44,Tilley's Bridge,Tilley's Bridge,,Tilley's Bridge,"10527 Mount Lindesay Highway, Rathdowney",Camping Ground,“”,No,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
45,Stuart River,Stuart River,,Stuart River,"15 Toomeys Road, Taabinga",Camping Ground,“”,No,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
46,Reid River,Reid River,,Reid River,"Flinders Highway, Reid River",Camping Ground,“”,No,No,No,OPEN: Variable hours,Activity-Types,Camping Ground
47,Crawford Creek,Crawford Creek,,Crawford Creek,"Landsborough Highway, Corfield",Camping Ground,“”,Yes,Yes,No,OPEN: Variable hours,Activity-Types,Camping Ground
48,Alice River,Alice River,,Alice River,"4 Jillian Court, Alice River",Camping Ground,“”,Yes,No,No,OPEN: Variable hours,Activity-Types,Camping Ground
49,Marathon,Marathon,,Marathon,"LOT 15 Flinders Hwy, Stamford",Camping Ground,“”,No,No,No,OPEN: Variable hours,Activity-Types,Camping Ground
50,Oorindi,Oorindi,,Oorindi,"Flinders Highway, Julia Creek",Camping Ground,“”,No,No,No,OPEN: Variable hours,Activity-Types,Camping Ground
51,Greendale Creek,Greendale Creek,,Greendale Creek,"Landsborough Highway, Mount Enniskillen",Camping Ground,“”,Yes,No,No,OPEN: Variable hours,Activity-Types,Camping Ground
52,Peak Creek,Peak Creek,,Peak Creek,"Diamantina Developmental Road, Georgina",Camping Ground,“”,No,No,No,OPEN: Variable hours,Activity-Types,Camping Ground
53,Guthalungra,Guthalungra,,Guthalungra,"Bruce Highway, Guthalungra",Camping Ground,“”,No,No,No,OPEN: Variable hours,Activity-Types,Camping Ground
54,Burton's Well Camp Area - Bunya Mountains National Park,Burton's Well Camp Area - Bunya Mountains National Park,,Burton's Well Camp Area - Bunya Mountains National Park,"Bunya Mountains Road, Bunya Mountains",Camping Ground,“”,No,No,No,OPEN: Daylight hours,Activity-Types,Camping Ground
55,Noah Creek Camping Area - Daintree National Park,Noah Creek Camping Area - Daintree National Park,,Noah Creek Camping Area - Daintree National Park,"Esplanade, Thornton Beach",Camping Ground,“”,No,No,No,OPEN: Daylight hours,Activity-Types,Camping Ground
56,Dundubara Camping Area - Great Sandy National Park,Dundubara Camping Area - Great Sandy National Park,,Dundubara Camping Area - Great Sandy National Park,"Wungu Sandblow Track, Fraser Island",Camping Ground,“”,No,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
57,Monks Tank Campground,Monks Tank Campground,,Monks Tank Campground,"Idalia National Park, Isisford",Camping Ground,“”,Yes,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
58,Wilga Camp Area - Lake Broadwater Conservation Park,Wilga Camp Area - Lake Broadwater Conservation Park,,Wilga Camp Area - Lake Broadwater Conservation Park,"Broadwater Road, Grassdale",Camping Ground,“”,No,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
59,Wallaman Falls Campground - Girringun National Park,Wallaman Falls Campground - Girringun National Park,,Wallaman Falls Campground - Girringun National Park,"Old Pack Track, Garrawalt",Camping Ground,“”,No,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
60,Pyramid Lookout Campground - Porcupine Gorge National Park,Pyramid Lookout Campground - Porcupine Gorge National Park,,Pyramid Lookout Campground - Porcupine Gorge National Park,"Mount Emu Road, Porcupine",Camping Ground,“”,No,No,No,Opening hours unknown,Activity-Types,Camping Ground
61,Waverley Creek,Waverley Creek,,Waverley Creek,"78206 Bruce Highway, Saint Lawrence",Camping Ground,“”,Yes,Yes,No,OPEN: Variable hours,Activity-Types,Camping Ground
62,Granite Creek,Granite Creek,,Granite Creek,"Bruce Highway, Gindoran",Camping Ground,“”,Yes,No,No,OPEN: Variable hours,Activity-Types,Camping Ground
63,Fassifern Reserve,Fassifern Reserve,,Fassifern Reserve,"77 Cunningham Highway, Frazerview",Camping Ground,“”,No,No,No,OPEN: Variable hours,Activity-Types,Camping Ground
64,Fountain Springs,Fountain Springs,,Fountain Springs,"Barkly Highway, Cloncurry",Camping Ground,“”,Yes,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
65,Wallum,Wallum,,Wallum,"2693 Childers Road, Elliott",Camping Ground,“”,Yes,No,No,OPEN: Variable hours,Activity-Types,Camping Ground
66,Carmila Beach Camping,Carmila Beach Camping,,Carmila Beach Camping,"Carmila Beach Road, Carmila",Camping Ground,“”,Yes,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
67,Boynedale Bush Camp,Boynedale Bush Camp,,Boynedale Bush Camp,"Gladstone-Monto Road, Boynedale",Camping Ground,“”,No,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
68,Andrew Drynan Park,Andrew Drynan Park,,Andrew Drynan Park,"Running Creek Road, Running Creek",Camping Ground,“”,Yes,Yes,No,OPEN: 24 hours,Activity-Types,Camping Ground
69,Terry Smith Lookout,Terry Smith Lookout,,Terry Smith Lookout,"Burke Developmental Road, Three Rivers",Camping Ground,“”,No,No,No,OPEN: Variable hours,Activity-Types,Camping Ground
70,Bamaga Turnoff,Bamaga Turnoff,,Bamaga Turnoff,"Peninsula Developmental Road, Archer River",Camping Ground,“”,No,No,No,OPEN: Variable hours,Activity-Types,Camping Ground
71,Cape Mellville ,Cape Mellville ,,Cape Mellville ,"Deighton Road, Lakefield",Camping Ground,“”,No,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
72,Isisford Weir,Isisford Weir,,Isisford Weir,"ST FRANCES ST, Isisford",Camping Ground,“”,No,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
73,Oma Waterhole,Oma Waterhole,,Oma Waterhole,"ISISFORD-YARAKA RIVER RD, Isisford",Camping Ground,“”,No,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
74,Lake Somerset Holiday Park,Lake Somerset Holiday Park,,Lake Somerset Holiday Park,"78 Kirkleigh Rd, Hazeldean",Camping Ground,“”,Yes,Yes,No,OPEN: Variable hours,Activity-Types,Camping Ground
75,Captain Logan Campground Lake Wivenhoe,Captain Logan Campground Lake Wivenhoe,,Captain Logan Campground Lake Wivenhoe,"Logan Inlet Road, Lake Wivenhoe",Camping Ground,“”,Yes,Yes,No,OPEN: Variable hours,Activity-Types,Camping Ground
76,Lumley Hill Campground Lake Wivenhoe,Lumley Hill Campground Lake Wivenhoe,,Lumley Hill Campground Lake Wivenhoe,"Logan Inlet Road, Lake Wivenhoe",Camping Ground,“”,Yes,Yes,No,OPEN: Variable hours,Activity-Types,Camping Ground
77,Morven Recreational Grounds ,Morven Recreational Grounds ,,Morven Recreational Grounds ,"22 Victoria Street, Morven",Camping Ground,“”,No,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
78,Balgal Beach (Fishermans Landing),Balgal Beach (Fishermans Landing),,Balgal Beach (Fishermans Landing),"Marlin Street, Balgal Beach",Camping Ground,“”,Yes,No,Yes,OPEN: 24 hours,Activity-Types,Camping Ground
79,Choregon,Choregon,,Choregon,"Landsborough Highway, Chorregon",Camping Ground,“”,Yes,No,No,OPEN: Variable hours,Activity-Types,Camping Ground
80,Rainsby,Rainsby,,Rainsby,"Aramac Torrens Creek Road, Torrens Creek",Camping Ground,“”,Yes,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
81,Torrens Creek,Torrens Creek,,Torrens Creek,"Flinders Highway, Torrens Creek",Camping Ground,“”,Yes,No,No,OPEN: Variable hours,Activity-Types,Camping Ground
82,Wallumbilla Showgrounds,Wallumbilla Showgrounds,,Wallumbilla Showgrounds,"Warrego Hwy, Wallumbilla",Camping Ground,“”,No,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
83,Workmans Beach,Workmans Beach,,Workmans Beach,"Springs Road, Agnes Water",Camping Ground,“”,Yes,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
84,Calliope River Camping Grounds Northside,Calliope River Camping Grounds Northside,,Calliope River Camping Grounds Northside,"Bruce Highway, River Ranch",Camping Ground,“”,Yes,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
85,The Fletcher,The Fletcher,,The Fletcher,"Lynd Highway, Basalt",Camping Ground,“”,No,No,No,Opening hours unknown,Activity-Types,Camping Ground
86,Cuttaburra Crossing on Eyre Creek,Cuttaburra Crossing on Eyre Creek,,Cuttaburra Crossing on Eyre Creek,"Eyre Developmental Road, Bedourie",Camping Ground,“”,No,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
87,Dartmouth,Dartmouth,,Dartmouth,"Landsborough Highway Ilfracombe, Ilfracombe",Camping Ground,“”,Yes,Yes,No,OPEN: Variable hours,Activity-Types,Camping Ground
88,Forest Park,Forest Park,,Forest Park,"Landsborough Highway Blackall, Blackall",Camping Ground,“”,Yes,No,No,OPEN: Variable hours,Activity-Types,Camping Ground
89,Jubilee Park,Jubilee Park,,Jubilee Park,"Capricorn Highway, Barcaldine",Camping Ground,“”,Yes,No,No,OPEN: Variable hours,Activity-Types,Camping Ground
90,Leander,Leander,,Leander,"Landsborough Highway, Longreach",Camping Ground,“”,Yes,No,No,OPEN: Variable hours,Activity-Types,Camping Ground
91,Packsaddle,Packsaddle,,Packsaddle,"Landsborough Highway Tara Station, Tara Station",Camping Ground,“”,Yes,No,No,OPEN: Variable hours,Activity-Types,Camping Ground
92,Truckies Bend,Truckies Bend,,Truckies Bend,"Landsborough Highway, Barcaldine",Camping Ground,“”,Yes,No,No,OPEN: Variable hours,Activity-Types,Camping Ground
93,Nindigully Tourist & Visitor Area,Nindigully Tourist & Visitor Area,,Nindigully Tourist & Visitor Area,"Nindigully, Thallon",Camping Ground,“”,Yes,Yes,No,OPEN: 24 hours,Activity-Types,Camping Ground
94,Apex Riverside Park,Apex Riverside Park,,Apex Riverside Park,"River Farms Road Longreach QLD 4730, Longreach",Camping Ground,“”,No,Yes,No,OPEN: 24 hours,Activity-Types,Camping Ground
95,Barcaldine South,Barcaldine South,,Barcaldine South,"Landsborough Highway, Barcaldine",Camping Ground,“”,Yes,No,No,OPEN: Variable hours,Activity-Types,Camping Ground
96,Kyneton,Kyneton,,Kyneton,"Landsborough Highway, Patrick",Camping Ground,“”,No,No,No,OPEN: Variable hours,Activity-Types,Camping Ground
97,Windera,Windera,,Windera,"Bishops Road, Windera",Camping Ground,“”,No,No,No,OPEN: Variable hours,Activity-Types,Camping Ground
98,Cressbrook Dam Camping Ground,Cressbrook Dam Camping Ground,,Cressbrook Dam Camping Ground,"Unnamed Road, Biarra",Camping Ground,“”,Yes,No,No,OPEN: Daylight hours,Activity-Types,Camping Ground
99,Ravenswood Showgrounds,Ravenswood Showgrounds,,Ravenswood Showgrounds,"89 Deighton Street, Ravenswood",Camping Ground,“”,No,No,No,OPEN: Variable hours,Activity-Types,Camping Ground
100,Macrossan Park,Macrossan Park,,Macrossan Park,"Off Fannings Downs Road, Dotswood",Camping Ground,“”,No,No,No,OPEN: Variable hours,Activity-Types,Camping Ground
101,Goovigen Showgrounds,Goovigen Showgrounds,,Goovigen Showgrounds,"6 Stone Crescent, Goovigen",Camping Ground,“”,Yes,No,No,OPEN: 24 hours,Activity-Types,Camping Ground
102,Lawgi Rest Area,Lawgi Rest Area,,Lawgi Rest Area,"37715 Burnett Highway, Lawgi Dawes",Camping Ground,“”,Yes,Yes,No,OPEN: 24 hours,Activity-Types,Camping Ground