,Name,Location,Suburb,Activity Type,Opening Hours,Latitude,Longitude,On-Premise Disability Parking,On-Premise Parking,Disability Accessible,Ambulant Toilet
0,Noosa Fair Shopping Centre,"3 Lanyana Way, Noosa Heads",Noosa Heads,Shopping Centre,OPEN: 24 hours,-26.39807152,153.0898557,Yes,Yes,No,No
1,Queen Street,"Queen Street, Ayr",Ayr,Shopping Centre,OPEN: 6am-10pm,-19.57494972,147.4060353,Yes,Yes,Yes,No
2,Archibald Street,"Archibald Street, Dalby",Dalby,Shopping Centre,OPEN: 6am-7pm,-27.1819255,151.2638045,Yes,Yes,Yes,No
3,Maple Street,"Maple Street, Maleny",Maleny,Shopping Centre,OPEN: Daylight hours,-26.75883612,152.8516196,No,Yes,Yes,No
4,Centre Point,"Centre Point Arcade, Mackay",Mackay,Shopping Centre,"OPEN: Mon-Fri 8:30am-5:30pm, Sat 8:30am-12pm",-21.14169611,149.1850599,Yes,Yes,No,No
5,Vernon Street,"Vernon Street, Atherton",Atherton,Shopping Centre,OPEN: 24 hours,-17.26591699,145.4752876,No,No,Yes,No
6,Melton Park,"72 Grevillea Street, Biloela",Biloela,Shopping Centre,OPEN: 24 hours,-24.399629,150.5133541,No,Yes,Yes,No
7,Kariboe Street,"Kariboe Street, Biloela",Biloela,Shopping Centre,OPEN: 24 hours,-24.40062525,150.5124004,Yes,Yes,Yes,No
8,BiCentenial Park,"Callide Street, Biloela",Biloela,Shopping Centre,OPEN: 24 hours,-24.40205344,150.5112149,Yes,Yes,Yes,No
9,Baralaba Community Hall,"24 Stopford Street, Baralaba",Baralaba,Shopping Centre,OPEN: 24 hours,-24.18195386,149.8112847,No,Yes,Yes,No
10,Acacia Marketplace Shopping Centre,"1150 Beaudesert Road, Acacia Ridge",Acacia Ridge,Shopping Centre,"OPEN: Mon-Fri 8am-9pm, Sat 8am-5pm, Sun 8am-6pm",-27.57587678,153.0259873,No,Yes,No,No
11,Centro Albany,"700 Albany Creek Road, Albany Creek",Albany Creek,Shopping Centre,"OPEN: Mon-Wed,Fri 9am-5:30pm, Thu 9am-9pm, Sat 9am-5pm",-27.34612578,152.9688616,Yes,Yes,Yes,No
12,Alexandra Hills Shopping Centre,"Corner of Cambridge Drive & Finucane Road, Alexandra Hills",Alexandra Hills,Shopping Centre,"OPEN: Mon-Wed,Fri 9am-5:30pm, Sat 9am-4pm, Sun 10am-4pm, Thu 9am-9pm",-27.52320965,153.220765,Yes,Yes,Yes,No
13,Allenstown Square,"Corner of Canning & Derby Street, Rockhampton",Rockhampton,Shopping Centre,"OPEN: Mon-Wed 9am-5:30pm, Sat 9am-2pm, Sun 10am-4pm, Thu-Fri 9am-7pm",-23.38940264,150.5036545,Yes,Yes,Yes,No
14,Arana Hills Kmart Plaza,"Corner Dawson Parade & Patricks Road, Arana Hills",Arana Hills,Shopping Centre,"OPEN: Mon-Fri 8am-9pm, Sat 8am-5pm, Sun 8am-6pm",-27.39745414,152.9589018,Yes,Yes,Yes,No
15,Australia Fair,"Marine Parade, Southport",Southport,Shopping Centre,"OPEN: Mon-Wed,Fri-Sat 9am-5:30pm, Thu 9am-9pm, Sun 10:30am-4pm",-27.96761798,153.4166371,Yes,Yes,Yes,No
16,Bay Plaza,"Torquay Terrace, Hervey Bay",Hervey Bay,Shopping Centre,"OPEN: Mon-Thu 9am-5:30pm, Sun 10am-4pm, Fri 9am-5pm, Sat 9am-4pm",-25.28860605,152.8734184,Yes,Yes,Yes,No
17,Bay Village On Hastings,"18 Hastings Street, Noosa Heads",Noosa Heads,Shopping Centre,OPEN: 8am-8pm,-26.386392,153.088972,Yes,Yes,Yes,No
18,Beenleigh Marketplace,"George Street, Beenleigh",Beenleigh,Shopping Centre,"OPEN: Mon-Wed,Fri 9am-5:30am, Sat 9am-4pm, Sun 10:30am-4pm, Thu 9am-9pm",-27.7174881,153.206498,Yes,Yes,Yes,No
19,Birkdale Fair,"Corner Birkdale & Mary Pleasants Drive, Birkdale",Birkdale,Shopping Centre,"OPEN: Mon-Fri 8am-9pm, Sat 8am-5pm, Sun 9am-6pm",-27.49166513,153.2185245,Yes,No,Yes,No
20,Brookside Shopping Centre,"159 Osborne Road, Mitchelton",Mitchelton,Shopping Centre,"OPEN: Mon-Fri 9am-5:30pm, Sat 9am-4pm, Thu 9am-9pm, Sun 9am-6pm",-27.40885042,152.9779274,Yes,Yes,Yes,No
21,Bundaberg Plaza,"14 Maryborough Street, Bundaberg Central",Bundaberg Central,Shopping Centre,"OPEN: Mon-Fri 8:30am-9pm, Sat 8:30am-5:30pm",-24.871261,152.348071,Yes,Yes,Yes,No
22,Cairns Central,"Corner McLeod & Spence Streets, Cairns",Cairns,Shopping Centre,"OPEN: Mon-Wed,Fri-Sat 9am-5:30pm, Thu 9am-9pm, Sun 10:30am-4pm",-16.92616124,145.7736805,Yes,Yes,Yes,No
23,Caneland Central,"Corner Mangrove & Victoria Streets, Mackay",Mackay,Shopping Centre,"OPEN: Mon-Fri 8:30am-9pm, Sat 8:30am-3pm",-21.13980683,149.1781386,Yes,Yes,Yes,No
24,Capalaba Central Shopping Centre,"Moreton Bay Road, Capalaba",Capalaba,Shopping Centre,"OPEN: Mon-Wed,Fri 9am-5:30pm, Thu 9am-9pm, Sat 9am-5pm, Sun 10am-4pm",-27.52307853,153.1950162,Yes,Yes,Yes,No
25,Capalaba Park Shopping Centre,"Corner of Mount Cotton & Redland Bay Roads, Capalaba",Capalaba,Shopping Centre,"OPEN: Mon-Fri 8am-9pm, Sat 8am-6pm, Sun 10am-6pm",-27.52371942,153.1907396,Yes,Yes,Yes,No
26,Centro Milton,"Corner Baroona Road & Wight Street, Milton",Milton,Shopping Centre,"OPEN: Mon-Wed,Fri 9am-5:30pm, Thu 9am-9pm, Sat 9am-5pm, Sun 10am-4:30pm",-27.46804572,153.0021036,No,No,No,No
27,My Centre Nerang,"57 Station Street, Nerang",Nerang,Shopping Centre,"OPEN: Mon-Wed,Fri 9am-5:30pm, Sat 8:30am-5:30pm, Thu 9am-7pm, Sun 9am-6pm",-27.99778198,153.3388725,Yes,Yes,No,No
28,Centro Oxenford,"Corner Old Pacific Highway & Tamborine-Oxenford Road, Oxenford",Oxenford,Shopping Centre,"OPEN: Mon-Wed,Fri 9am-5pm, Sat 9am-5pm, Thu 9am-9pm, Sun 9am-6pm",-27.89061756,153.3128144,Yes,Yes,Yes,No
29,Southport Park Shopping Centre,"Corner Benowa & Ferry Roads, Southport",Southport,Shopping Centre,"OPEN: Mon-Wed,Fri 9am-5:30pm, Thu 9am-9pm, Sat 9am-5pm, Sun 10:30am-4pm",-27.98460658,153.4104462,Yes,Yes,Yes,No
30,Springwood Shopping Mall,"Corner Rochedale Road & Fitzgerald Avenue, Springwood",Springwood,Shopping Centre,"OPEN: Mon-Wed,Fri 9am-5:30pm, Thu 9am-9pm, Sun 10am-4pm, Sat 9am-4pm",-27.61392217,153.1257148,Yes,Yes,Yes,No
31,Paradise Centre,"Corner Cavill Avenue & Gold Coast Highway, Surfers Paradise",Surfers Paradise,Shopping Centre,OPEN: 9am-10pm,-28.00223114,153.4287003,Yes,Yes,Yes,No
32,Chatswood Central Shopping Centre,"Corner Chatswood & Magellan Roads, Springwood",Springwood,Shopping Centre,"OPEN: Mon-Fri 8:30am-9pm, Sat 8:30am-5pm, Sun 8:30am-5:30pm",-27.63321524,153.1383146,Yes,Yes,Yes,No
33,Chermside Markets,"Corner Gympie & Webster Roads, Chermside",Chermside,Shopping Centre,"OPEN: Mon-Fri 8am-9pm, Sat 8am-5pm, Sun 9am-6pm",-27.37508548,153.0245582,Yes,Yes,Yes,No
34,Chevron Renaissance Shopping Centre,"3240 Surfers Paradise Blvd, Surfers Paradise",Surfers Paradise,Shopping Centre,"OPEN: Mon-Sat 8:30am-5:30pm, Sun 10am-4pm",-27.99925904,153.4288538,Yes,Yes,Yes,No
35,City Centre Plaza,"Corner Bolsover & Fitzroy Streets, Rockhampton",Rockhampton,Shopping Centre,"OPEN: Mon-Fri 9am-9pm, Sat 9am-5pm, Sun 9am-6pm",-23.37677527,150.5106536,Yes,Yes,Yes,No
36,Clifford Gardens Shopping Centre,"125 Anzac Avenue, Newtown",Newtown,Shopping Centre,"OPEN: Mon-Wed,Fri 9am-5:30pm, Thu 9am-9pm, Sat-Sun 9am-6pm",-27.56490914,151.9311721,Yes,Yes,Yes,No
37,Currimundi Markets,"Bellara Drive & Nicklin Way, Currimundi",Currimundi,Shopping Centre,"OPEN: Mon-Fri 8am-9pm, Sat 8am-5pm, Sun 9am-6pm",-26.77306983,153.1226048,Yes,Yes,Yes,No
38,Everton Plaza Shopping Centre,"791 Stafford Road, Everton Park",Everton Park,Shopping Centre,"OPEN: Mon-Wed,Fri 9am-5:30pm, Thu 9am-9pm, Sun 10am-4pm, Sat 9am-5pm",-27.40641994,152.9915995,No,Yes,Yes,No
39,Fairfield Gardens,"180 Fairfield Road, Fairfield",Fairfield,Shopping Centre,"OPEN: Mon-Wed,Fri 9am-5:30pm, Thu 9am-9pm, Sun 9am-4pm, Sat 9am-5pm",-27.50870653,153.0246507,Yes,Yes,Yes,No
40,Forest Lake Shopping Centre,"235 Forest Lake Boulevard, Forest Lake",Forest Lake,Shopping Centre,"OPEN: Mon-Fri 8am-9pm, Sat 8am-5pm, Sun 8am-6pm",-27.62415555,152.9683405,Yes,Yes,Yes,No
41,Gardentown Brand Direct Shopping Plus,"Corner Margaret & Victoria Streets, Toowoomba",Toowoomba,Shopping Centre,"OPEN: Mon-Wed,Fri 9am-5:30pm, Thu 9am-9pm, Sat 9am-4pm, Sun 10am-4pm",-27.56084456,151.9507597,No,Yes,Yes,No
42,Goldfields Plaza Shopping Centre,"Corner Monkland & Nash Streets, Gympie",Gympie,Shopping Centre,"OPEN: Mon-Fri 8am-9pm, Sat 8am-5pm",-26.18832605,152.6610434,Yes,Yes,Yes,No
43,Grand Central Toowoomba,"Corner Dent & Margaret Streets, Toowoomba",Toowoomba,Shopping Centre,"OPEN: Mon-Wed,Fri 9am-5:30pm, Thu 9am-9pm, Sat 9am-5pm, Sun 10am-4pm",-27.560937,151.9499128,Yes,Yes,Yes,No
44,Grand Plaza Shopping Centre,"Browns Plains Road, Browns Plains",Browns Plains,Shopping Centre,"OPEN: Mon-Wed,Fri 9am-5:30pm, Thu 9am-9pm, Sat 9am-4pm, Sun 10am-4pm",-27.66149174,153.0412629,Yes,Yes,Yes,No
45,Greenslopes Shopping Mall,"700 Logan Road, Greenslopes",Greenslopes,Shopping Centre,"OPEN: Mon-Wed,Fri 9am-5:30pm, Sat 9am-4pm, Sun 10am-4pm, Thu 9am-9pm",-27.51191421,153.0537487,Yes,Yes,Yes,No
46,Centro Gympie,"Corner Bruce Highway & Excelsior Road, Gympie",Gympie,Shopping Centre,"OPEN: Mon-Fri 7:15am-9:15pm, Sat 7:15am-5:15pm",-26.1988595,152.666508,No,Yes,Yes,No
47,Hermit Park Shopping Centre,"124 Charters Towers Road, Hermit Park",Hermit Park,Shopping Centre,"OPEN: Mon-Fri 8am-9pm, Sat 8am-5:30pm",-19.27805352,146.8000628,Yes,Yes,Yes,No
48,Hinkler Central,"16 Maryborough Street, Bundaberg Central",Bundaberg Central,Shopping Centre,"OPEN: Mon-Wed,Fri 9am-5:30pm, Sat 9am-5pm, Thu 9am-9pm, Sun 10am-3pm",-24.871261,152.348071,Yes,Yes,Yes,No
49,Centro Indooroopilly,"322 Moggill Road, Indooroopilly",Indooroopilly,Shopping Centre,"OPEN: Mon-Wed,Fri 9am-5:30pm, Thu 9am-9pm, Sat 9am-5pm, Sun 10am-4pm",-27.49826399,152.9729483,Yes,Yes,Yes,No
50,Kenmore Plaza,"841 Moggill Road, Kenmore",Kenmore,Shopping Centre,"OPEN: Mon-Wed,Fri 9am-5:30pm, Thu 9am-7pm, Sat 9am-4pm, Sun 10am-4pm",-27.50630638,152.9474081,Yes,Yes,Yes,No
51,Kensington Village Shopping Centre,"Corner Kensington Way and Sovereign Avenue, Bray Park",Bray Park,Shopping Centre,"OPEN: Mon-Wed,Fri 9am-5:30pm, Sat 8am-5pm, Sun 9am-6pm, Thu 9am-9pm",-27.29697979,152.9759004,Yes,Yes,Yes,No
52,Kingaroy Shoppingworld,"Alford Street, Kingaroy",Kingaroy,Shopping Centre,"OPEN: Mon-Thu 8am-9pm, Fri 9am-9pm, Sat 8am-5pm",-26.54116695,151.8368873,Yes,Yes,Yes,No
53,Kippa-Ring Village Shopping Centre,"284 Anzac Avenue, Kippa-Ring",Kippa-Ring,Shopping Centre,"OPEN: Mon-Wed,Fri 8:30am-5:30pm, Thu 8:30am-9pm, Sat 8:30am-5pm, Sun 8:30am-6pm",-27.22553911,153.087482,Yes,Yes,Yes,No
54,Labrador Park Shopping Centre,"100 Brisbane Road, Labrador",Labrador,Shopping Centre,"OPEN: Mon-Sat 8am-6pm, Sun 8am-4pm",-27.93607138,153.3971733,Yes,Yes,Yes,No
55,Logan Central Plaza,"38-74 Wembley Road, Logan Central",Logan Central,Shopping Centre,"OPEN: Mon-Fri 8am-9pm, Sat 8am-5pm, Sun 9am-6pm",-27.64294151,153.1149522,Yes,Yes,Yes,No
56,Mareeba Plaza Shopping Centre,"241 Byrnes Street, Mareeba",Mareeba,Shopping Centre,"OPEN: Mon-Fri 9am-9pm, Sat 9am-5pm",-16.99852,145.423048,Yes,Yes,Yes,No
57,Marina Mirage,"74 Seaworld Drive, Main Beach",Main Beach,Shopping Centre,OPEN: 10am-6pm,-27.96711677,153.4264132,Yes,Yes,Yes,No
58,Maryborough Plaza Shopping Centre,"Bazaar Street, Maryborough",Maryborough,Shopping Centre,"OPEN: Mon-Fri 8am-9pm, Sat 8am-5pm",-25.538933,152.702977,No,No,Yes,No
59,Mooloolaba Central,"Venning Street, Mooloolaba",Mooloolaba,Shopping Centre,"OPEN: Mon-Fri 8am-9pm, Sat 8am-5pm, Sun 9am-6pm",-26.678332,153.116876,Yes,Yes,Yes,No
60,Moranbah Fair Shopping Centre,"St Francis Drive, Moranbah",Moranbah,Shopping Centre,"OPEN: Mon-Fri 9am-9pm, Sat 9am-4pm",-22.00066,148.044138,Yes,Yes,Yes,No
61,Morayfield Shopping Centre,"171 Morayfield Road, Morayfield",Morayfield,Shopping Centre,"OPEN: Mon-Wed,Fri 9am-5:30pm, Thu 9am-9pm, Sat 9am-5pm, Sun 10am-3:30pm",-27.10241145,152.9497034,Yes,Yes,Yes,No
62,Morayfield Village,"Morayfield Road, Morayfield",Morayfield,Shopping Centre,"OPEN: Mon-Wed,Fri 9am-5:30pm, Thu 9am-9pm, Sat 9am-5pm, Sun 10am-3:30pm",-27.10433106,152.9483051,Yes,Yes,Yes,No
63,Mount Ommaney Centre,"171 Dandenong Road, Mount Ommaney",Mount Ommaney,Shopping Centre,"OPEN: Thu 8:30am-9pm, Mon-Wed,Fri 8:30am-7pm, Sat 8:30am-5pm, Sun 9am-5pm",-27.54926871,152.9361925,Yes,Yes,Yes,No
64,Mount Pleasant Shopping Centre,"Corner Bucasia Road & Phillip Street, Mount Pleasant",Mount Pleasant,Shopping Centre,"OPEN: Mon-Wed,Fri 9am-5:30pm, Thu 9am-9pm, Sun 10am-4pm, Sat 9am-3pm",-21.11777921,149.1575249,Yes,Yes,Yes,No
65,Mt Gravatt Plaza,"Corner Creek & Logan Roads, Mount Gravatt",Mount Gravatt,Shopping Centre,"OPEN: Mon-Wed,Fri 9am-5:30pm, Thu 9am-7pm, Sat 9am-4pm, Sun 10am-4pm",-27.5392664,153.0809955,Yes,Yes,Yes,No
66,Mudgeeraba Market Shopping Centre,"Swan Lane, Mudgeeraba",Mudgeeraba,Shopping Centre,"OPEN: Mon-Fri 6am-9pm, Sat 6am-7pm, Sun 9am-6pm",-28.0789093,153.3656642,Yes,Yes,Yes,No
67,Myer Centre,"91 Queen Street, Brisbane",Brisbane,Shopping Centre,"OPEN: Mon-Thu 9am-5:30pm, Fri 9am-9pm, Sat 9am-5pm, Sun 10am-5pm",-27.470141,153.024554,Yes,Yes,Yes,No
68,Nambour Plaza,"Ann Street, Nambour",Nambour,Shopping Centre,"OPEN: Mon-Wed,Fri 9am-5:30pm, Sat 9am-5pm, Thu 9am-9pm, Sun 10am-4pm",-26.62587145,152.9612322,Yes,Yes,Yes,No
69,Niecon Plaza & Niecon Tower,"Victoria Avenue, Broadbeach",Broadbeach,Shopping Centre,OPEN: 6am-9pm,-28.029088,153.43279,Yes,Yes,Yes,No
70,Noosa Fair Shopping Centre,"Lanyana Way, Noosa Heads",Noosa Heads,Shopping Centre,"OPEN: Mon-Fri 8am-9pm, Sat 8am-5:30pm, Sun 9am-6pm",-26.397693,153.089893,Yes,Yes,Yes,No
71,Noosa Junction Plaza,"Cnr Sunshine Beach Road & Noosa Drive, Noosa Heads",Noosa Heads,Shopping Centre,"OPEN: Mon-Fri 8am-7:30pm, Sat 8am-5:30pm, Sun 9am-6pm",-26.39642,153.08902,Yes,Yes,Yes,No
72,Pacific Fair Shopping Centre,"Hooker Boulevard, Broadbeach Waters",Broadbeach Waters,Shopping Centre,"OPEN: Mon-Wed,Fri-Sat 9am-5:30pm, Thu 9am-9pm, Sun 9am-5pm",-28.03636768,153.4276805,Yes,Yes,Yes,No
73,Parkside Plaza Shopping Centre,"148 Bamford Lane, Kirwan",Kirwan,Shopping Centre,"OPEN: Mon-Fri 7am-9pm, Sat 7am-6pm, Sun 7am-3pm",-19.303765,146.740956,Yes,Yes,Yes,No
74,Pialba Place Shopping Centre - Coles,"Main Street, Pialba",Pialba,Shopping Centre,"OPEN: Mon-Fri 8am-9pm, Sat 8:30am-5:30pm, Sun 9am-6pm",-25.28273577,152.8389733,Yes,Yes,Yes,No
75,Pier Shopping,"Pier Point Road, Cairns",Cairns,Shopping Centre,OPEN: 9am-9pm,-16.920377,145.779915,Yes,Yes,Yes,No
76,Pinelands Plaza,"663 Beenleigh Road, Sunnybank Hills",Sunnybank Hills,Shopping Centre,OPEN: 7am-11pm,-27.58922434,153.0611539,Yes,Yes,Yes,No
77,Plaza Parade,"Plaza Parade, Maroochydore",Maroochydore,Shopping Centre,"OPEN: Mon-Wed,Fri-Sat 9am-5:30pm, Thu 9am-9pm, Sun 10:30am-4pm",-26.65604318,153.088618,Yes,Yes,Yes,No
78,Post Office Square,"Queen Street, Brisbane",Brisbane,Shopping Centre,OPEN: Mon-Fri 8:30am-5:30pm,-27.467274,153.0274025,No,Yes,Yes,No
79,Raintrees Shopping Centre,"Corner Alfred & Koch Streets, Manunda",Manunda,Shopping Centre,"OPEN: Sat 8:30am-5:30pm, Mon-Fri 8:30am-9pm, Sun 9am-6pm",-16.92539608,145.7406109,Yes,Yes,Yes,No
80,Robina Town Centre,"Robina Town Centre Drive, Robina",Robina,Shopping Centre,"OPEN: Mon-Wed,Fri 9am-5:30pm, Thu 9am-9pm, Sun 10:30am-4pm, Sat 8:30am-5:30pm",-28.07665744,153.3839664,Yes,Yes,Yes,No
81,Rose City Shoppingworld,"81 Palmerin Street, Warwick",Warwick,Shopping Centre,"OPEN: Mon-Wed,Fri 9am-5:30pm, Thu 9am-9pm, Sat 9am-4pm",-28.214712,152.032959,Yes,Yes,Yes,No
